"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",102.7,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",107.7,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",108.1,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",107.8,,
"PRMNTO01","Production in total manufacturing sa, Index","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",116.8,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",100.3,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",100.6,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",92.2,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",83.8,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",100.1,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",104.6,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",101.1,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",110.5,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",105,,
"SLRTTO01","Total retail trade (Volume) sa, Index","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",106.1,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2010_100","2010=100",102.8084,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2010_100","2010=100",101.3245,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2010_100","2010=100",53.8165,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2010_100","2010=100",10.65529,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2010_100","2010=100",81.97556,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2010_100","2010=100",97.64063,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2010_100","2010=100",115.3656,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2010_100","2010=100",108.5404,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2010_100","2010=100",94.05855,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2010_100","2010=100",99.67858,,
"SLRTCR03","Passenger car registrations sa, Index","BEL","Belgium","M","Monthly","2020-11","Nov-2020","IDX","Index","0","Units","2010_100","2010=100",87.40969,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-01","Jan-2020","IDX","Index","0","Units","2015_100","2015=100",102.6914,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-02","Feb-2020","IDX","Index","0","Units","2015_100","2015=100",99.5917,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-03","Mar-2020","IDX","Index","0","Units","2015_100","2015=100",88.29264,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-04","Apr-2020","IDX","Index","0","Units","2015_100","2015=100",84.19299,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-05","May-2020","IDX","Index","0","Units","2015_100","2015=100",93.49221,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-06","Jun-2020","IDX","Index","0","Units","2015_100","2015=100",95.69202,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-07","Jul-2020","IDX","Index","0","Units","2015_100","2015=100",97.69186,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-08","Aug-2020","IDX","Index","0","Units","2015_100","2015=100",95.69202,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-09","Sep-2020","IDX","Index","0","Units","2015_100","2015=100",95.59203,,
"PRCNTO01","Production of total construction sa, Index","BEL","Belgium","M","Monthly","2020-10","Oct-2020","IDX","Index","0","Units","2015_100","2015=100",95.49204,,
